k,algo,MAE,RMSE
no_k,SVD,3.3713,4.5004
no_k,SVD++,3.6209,4.9042
no_k,Baseline,3.3982,4.3134
no_k,NeuMF,3.0375,4.1376
5,MSD_KNN,3.0734,4.2445
5,SW_MSD_KNN,3.6958,4.9204
5,LS_MSD_KNN,3.0451,4.1889
5,EBCR_MSD_KNN,3.0446,4.1887
5,COS_KNN,3.0697,4.2504
5,SW_COS_KNN,3.0696,4.2503
5,LS_COS_KNN,3.0389,4.1805
5,EBCR_COS_KNN,3.0384,4.1803
5,NormPCC_KNN,3.088,4.2415
5,SW_NormPCC_KNN,3.0879,4.2414
5,LS_NormPCC_KNN,3.0485,4.1911
5,EBCR_NormPCC_KNN,3.0479,4.1907

10,MSD_KNN,3.0956,4.2223
10,SW_MSD_KNN,3.0956,4.2222
10,LS_MSD_KNN,3.0348,4.1225
10,EBCR_MSD_KNN,3.0345,4.1222
10,COS_KNN,3.0507,4.1777
10,SW_COS_KNN,3.0507,4.1777
10,LS_COS_KNN,3.0166,4.1012
10,EBCR_COS_KNN,3.0158,4.1008
10,NormPCC_KNN,3.1213,4.2316
10,SW_NormPCC_KNN,3.1212,4.2315
10,LS_NormPCC_KNN,3.0369,4.1237
10,EBCR_NormPCC_KNN,3.0366,4.1236

15,MSD_KNN,3.1323,4.2512
15,SW_MSD_KNN,3.1323,4.2512
15,LS_MSD_KNN,3.0544,4.1285
15,EBCR_MSD_KNN,3.054,4.1276
15,COS_KNN,3.0626,4.1758
15,SW_COS_KNN,3.0626,4.1757
15,LS_COS_KNN,3.0271,4.0968
15,EBCR_COS_KNN,3.0268,4.0966
15,NormPCC_KNN,3.17,4.2735
15,SW_NormPCC_KNN,3.1699,4.2735
15,LS_NormPCC_KNN,3.0563,4.1292
15,EBCR_NormPCC_KNN,3.0558,4.1288

20,MSD_KNN,3.1612,4.2749
20,SW_MSD_KNN,3.1612,4.2748
20,LS_MSD_KNN,3.0736,4.1409
20,EBCR_MSD_KNN,3.0735,4.1403
20,COS_KNN,3.0776,4.1829
20,SW_COS_KNN,3.0776,4.1829
20,LS_COS_KNN,3.0406,4.1039
20,EBCR_COS_KNN,3.0404,4.1034
20,NormPCC_KNN,3.209,4.307
20,SW_NormPCC_KNN,3.209,4.307
20,LS_NormPCC_KNN,3.0754,4.1417
20,EBCR_NormPCC_KNN,3.075,4.1413

25,MSD_KNN,3.1844,4.2935
25,SW_MSD_KNN,3.1844,4.2934
25,LS_MSD_KNN,3.0899,4.1528
25,EBCR_MSD_KNN,3.0897,4.1524
25,COS_KNN,3.0916,4.1919
25,SW_COS_KNN,3.0916,4.1918
25,LS_COS_KNN,3.0536,4.1131
25,EBCR_COS_KNN,3.0534,4.1127
25,NormPCC_KNN,3.2395,4.3326
25,SW_NormPCC_KNN,3.2395,4.3326
25,LS_NormPCC_KNN,3.0917,4.1534
25,EBCR_NormPCC_KNN,3.091,4.1531

30,MSD_KNN,3.2035,4.3087
30,SW_MSD_KNN,3.2035,4.3087
30,LS_MSD_KNN,3.1034,4.1630
30,EBCR_MSD_KNN,3.1031,4.1627
30,COS_KNN,3.1044,4.2004
30,SW_COS_KNN,3.1044,4.2004
30,LS_COS_KNN,3.0651,4.1215
30,EBCR_COS_KNN,3.0648,4.1214
30,NormPCC_KNN,3.2636,4.3529
30,SW_NormPCC_KNN,3.2636,4.3529
30,LS_NormPCC_KNN,3.1046,4.1638
30,EBCR_NormPCC_KNN,3.1044,4.1635

35,MSD_KNN,3.2198,4.3218
35,SW_MSD_KNN,3.2198,4.3218
35,LS_MSD_KNN,3.1147,4.1718
35,EBCR_MSD_KNN,3.1144,4.1717
35,COS_KNN,3.1159,4.2087
35,SW_COS_KNN,3.1159,4.2087
35,LS_COS_KNN,3.0748,4.1296
35,EBCR_COS_KNN,3.0746,4.1295
35,NormPCC_KNN,3.2834,4.37
35,SW_NormPCC_KNN,3.2834,4.37
35,LS_NormPCC_KNN,3.1159,4.1727
35,EBCR_NormPCC_KNN,3.1157,4.1726

40,MSD_KNN,3.234,4.3333
40,SW_MSD_KNN,3.234,4.3333
40,LS_MSD_KNN,3.1246,4.1799
40,EBCR_MSD_KNN,3.1242,4.1796
40,COS_KNN,3.1264,4.2164
40,SW_COS_KNN,3.1264,4.2164
40,LS_COS_KNN,3.0829,4.1366
40,EBCR_COS_KNN,3.0829,4.1365
40,NormPCC_KNN,3.3004,4.3845
40,SW_NormPCC_KNN,3.3004,4.3845
40,LS_NormPCC_KNN,3.1258,4.1807
40,EBCR_NormPCC_KNN,3.1255,4.1804
