k,algo,MAE,RMSE
no_k,SVD,0.7376,0.9358
no_k,SVD++,0.7214,0.9203
no_k,Baseline,0.7484,0.944
no_k,NeuMF,0.7437,0.9363
5,MSD_KNN,0.8029,1.023
5,SW_MSD_KNN,0.7831,0.9984
5,LS_MSD_KNN,0.7902,1.0104
5,EBCR_MSD_KNN,0.7816,1.0012
5,COS_KNN,0.8532,1.0842
5,SW_COS_KNN,0.8443,1.0736
5,LS_COS_KNN,0.7877,1.0086
5,EBCR_COS_KNN,0.7821,1.0023
5,NormPCC_KNN,0.8556,1.0799
5,SW_NormPCC_KNN,0.842,1.0652
5,LS_NormPCC_KNN,0.7859,1.0076
5,EBCR_NormPCC_KNN,0.7758,0.9978

10,MSD_KNN,0.7788,0.9887
10,SW_MSD_KNN,0.7698,0.978
10,LS_MSD_KNN,0.7581,0.9685
10,EBCR_MSD_KNN,0.7517,0.9623
10,COS_KNN,0.8241,1.0442
10,SW_COS_KNN,0.8217,1.0398
10,LS_COS_KNN,0.7572,0.9697
10,EBCR_COS_KNN,0.7531,0.9653
10,NormPCC_KNN,0.8239,1.0371
10,SW_NormPCC_KNN,0.818,1.03
10,LS_NormPCC_KNN,0.7564,0.9688
10,EBCR_NormPCC_KNN,0.7507,0.9633

20,MSD_KNN,0.7705,0.9775
20,SW_MSD_KNN,0.7698,0.9756
20,LS_MSD_KNN,0.7428,0.9488
20,EBCR_MSD_KNN,0.7393,0.9454
20,COS_KNN,0.809,1.0248
20,SW_COS_KNN,0.812,1.0247
20,LS_COS_KNN,0.7427,0.9508
20,EBCR_COS_KNN,0.7403,0.9484
20,NormPCC_KNN,0.8094,1.018
20,SW_NormPCC_KNN,0.8073,1.0155
20,LS_NormPCC_KNN,0.7429,0.951
20,EBCR_NormPCC_KNN,0.7395,0.948

40,MSD_KNN,0.7736,0.9797
40,SW_MSD_KNN,0.7774,0.983
40,LS_MSD_KNN,0.7382,0.9431
40,EBCR_MSD_KNN,0.736,0.9409
40,COS_KNN,0.8044,1.0174
40,SW_COS_KNN,0.8102,1.0196
40,LS_COS_KNN,0.737,0.9438
40,EBCR_COS_KNN,0.7353,0.942
40,NormPCC_KNN,0.8048,1.0122
40,SW_NormPCC_KNN,0.8059,1.0129
40,LS_NormPCC_KNN,0.7387,0.9451
40,EBCR_NormPCC_KNN,0.7373,0.944

60,MSD_KNN,0.7788,0.9849
60,SW_MSD_KNN,0.7837,0.9894
60,LS_MSD_KNN,0.7385,0.9433
60,EBCR_MSD_KNN,0.7371,0.9419
60,COS_KNN,0.8049,1.0168
60,SW_COS_KNN,0.8115,1.0199
60,LS_COS_KNN,0.7362,0.9428
60,EBCR_COS_KNN,0.7348,0.9413
60,NormPCC_KNN,0.8051,1.0122
60,SW_NormPCC_KNN,0.8075,1.0143
60,LS_NormPCC_KNN,0.7388,0.9451
60,EBCR_NormPCC_KNN,0.7382,0.9446

80,MSD_KNN,0.7832,0.9894
80,SW_MSD_KNN,0.7883,0.994
80,LS_MSD_KNN,0.7395,0.9445
80,EBCR_MSD_KNN,0.7385,0.9435
80,COS_KNN,0.8062,1.0173
80,SW_COS_KNN,0.8125,1.0204
80,LS_COS_KNN,0.7361,0.9427
80,EBCR_COS_KNN,0.735,0.9414
80,NormPCC_KNN,0.8064,1.0134
80,SW_NormPCC_KNN,0.809,1.0156
80,LS_NormPCC_KNN,0.7399,0.9461
80,EBCR_NormPCC_KNN,0.7396,0.946

100,MSD_KNN,0.7868,0.9931
100,SW_MSD_KNN,0.7917,0.9974
100,LS_MSD_KNN,0.7406,0.9458
100,EBCR_MSD_KNN,0.7401,0.9453
100,COS_KNN,0.8075,1.0183
100,SW_COS_KNN,0.8136,1.0211
100,LS_COS_KNN,0.7365,0.9431
100,EBCR_COS_KNN,0.7354,0.9419
100,NormPCC_KNN,0.8078,1.0147
100,SW_NormPCC_KNN,0.8102,1.0167
100,LS_NormPCC_KNN,0.7415,0.9482
100,EBCR_NormPCC_KNN,0.741,0.9473

200,MSD_KNN,0.7967,1.0031
200,SW_MSD_KNN,0.7981,1.0037
200,LS_MSD_KNN,0.7455,0.9597
200,EBCR_MSD_KNN,0.7447,0.9501
200,COS_KNN,0.8133,1.0219
200,SW_COS_KNN,0.8152,1.0224
200,LS_COS_KNN,0.7373,0.9438
200,EBCR_COS_KNN,0.7364,0.9427
200,NormPCC_KNN,0.8114,1.0183
200,SW_NormPCC_KNN,0.8121,1.0188
200,LS_NormPCC_KNN,0.7449,0.9525
200,EBCR_NormPCC_KNN,0.745,0.9512
