k,algo,MAE,RMSE
no_k,SVD,0.6863,0.8743
no_k,SVD++,0.6729,0.8625
no_k,Baseline,0.7195,0.9088
no_k,NeuMF,0.6773,0.8765
5,MSD_KNN,0.7882,1.0042
5,SW_MSD_KNN,0.7338,0.9411
5,LS_MSD_KNN,0.7822,0.9974
5,EBCR_MSD_KNN,0.769,0.9828
5,COS_KNN,0.8379,1.0623
5,SW_COS_KNN,0.7999,1.0256
5,LS_COS_KNN,0.7814,0.9971
5,EBCR_COS_KNN,0.7719,0.9862
5,NormPCC_KNN,0.8302,1.0484
5,SW_NormPCC_KNN,0.7964,1.0092
5,LS_NormPCC_KNN,0.775,0.9897
5,EBCR_NormPCC_KNN,0.7526,0.9662

10,MSD_KNN,0.7532,0.9567
10,SW_MSD_KNN,0.7185,0.9163
10,LS_MSD_KNN,0.7471,0.949
10,EBCR_MSD_KNN,0.7363,0.9374
10,COS_KNN,0.8015,1.0136
10,SW_COS_KNN,0.7804,0.9954
10,LS_COS_KNN,0.7468,0.9498
10,EBCR_COS_KNN,0.7394,0.942
10,NormPCC_KNN,0.7935,0.9983
10,SW_NormPCC_KNN,0.7738,0.9752
10,LS_NormPCC_KNN,0.7422,0.9453
10,EBCR_NormPCC_KNN,0.7256,0.929

20,MSD_KNN,0.7349,0.9328
20,SW_MSD_KNN,0.7138,0.908
20,LS_MSD_KNN,0.7274,0.9227
20,EBCR_MSD_KNN,0.7185,0.9135
20,COS_KNN,0.7815,0.9888
20,SW_COS_KNN,0.7704,0.9802
20,LS_COS_KNN,0.7269,0.9236
20,EBCR_COS_KNN,0.7213,0.9179
20,NormPCC_KNN,0.7743,0.973
20,SW_NormPCC_KNN,0.7642,0.9607
20,LS_NormPCC_KNN,0.7241,0.9215
20,EBCR_NormPCC_KNN,0.712,0.9105

40,MSD_KNN,0.7274,0.9229
40,SW_MSD_KNN,0.7165,0.9098
40,LS_MSD_KNN,0.7165,0.909
40,EBCR_MSD_KNN,0.7096,0.9021
40,COS_KNN,0.771,0.9766
40,SW_COS_KNN,0.7667,0.9733
40,LS_COS_KNN,0.7155,0.9094
40,EBCR_COS_KNN,0.7116,0.9055
40,NormPCC_KNN,0.7658,0.9618
40,SW_NormPCC_KNN,0.7621,0.9569
40,LS_NormPCC_KNN,0.7143,0.9096
40,EBCR_NormPCC_KNN,0.7063,0.9031

60,MSD_KNN,0.7269,0.9218
60,SW_MSD_KNN,0.7208,0.9142
60,LS_MSD_KNN,0.713,0.905
60,EBCR_MSD_KNN,0.7072,0.8994
60,COS_KNN,0.7677,0.9727
60,SW_COS_KNN,0.7664,0.9716
60,LS_COS_KNN,0.7116,0.9049
60,EBCR_COS_KNN,0.7052,0.9016
60,NormPCC_KNN,0.7641,0.9594
60,SW_NormPCC_KNN,0.763,0.9576
60,LS_NormPCC_KNN,0.7114,0.9064
60,EBCR_NormPCC_KNN,0.7085,0.9019

80,MSD_KNN,0.7281,0.9228
80,SW_MSD_KNN,0.7248,0.9185
80,LS_MSD_KNN,0.7115,0.9036
80,EBCR_MSD_KNN,0.7066,0.8988
80,COS_KNN,0.7664,0.9711
80,SW_COS_KNN,0.767,0.9711
80,LS_COS_KNN,0.7097,0.9029
80,EBCR_COS_KNN,0.7071,0.9005
80,NormPCC_KNN,0.7639,0.959
80,SW_NormPCC_KNN,0.7642,0.9588
80,LS_NormPCC_KNN,0.7104,0.9055
80,EBCR_NormPCC_KNN,0.7053,0.9018

100,MSD_KNN,0.7298,0.9246
100,SW_MSD_KNN,0.7285,0.9226
100,LS_MSD_KNN,0.7109,0.9032
100,EBCR_MSD_KNN,0.7067,0.8991
100,COS_KNN,0.766,0.9703
100,SW_COS_KNN,0.7679,0.9711
100,LS_COS_KNN,0.7087,0.902
100,EBCR_COS_KNN,0.7064,0.8999
100,NormPCC_KNN,0.7644,0.9594
100,SW_NormPCC_KNN,0.7655,0.9602
100,LS_NormPCC_KNN,0.71,0.9053
100,EBCR_NormPCC_KNN,0.7058,0.9024

200,MSD_KNN,0.7387,0.9342
200,SW_MSD_KNN,0.7418,0.9371
200,LS_MSD_KNN,0.7114,0.905
200,EBCR_MSD_KNN,0.709,0.9027
200,COS_KNN,0.7669,0.9703
200,SW_COS_KNN,0.772,0.9727
200,LS_COS_KNN,0.7077,0.9018
200,EBCR_COS_KNN,0.7063,0.9006
200,NormPCC_KNN,0.7675,0.9629
200,SW_NormPCC_KNN,0.7702,0.9654
200,LS_NormPCC_KNN,0.7111,0.9075
200,EBCR_NormPCC_KNN,0.7092,0.9064
